month,canceled,total,cancel_rate
2023-01,113,1423,7.94
2023-02,97,1348,7.2
2023-03,136,1488,9.14
2023-04,109,1500,7.27
2023-05,147,2075,7.08
2023-06,112,1609,6.96
2023-07,127,1688,7.52
2023-08,134,1730,7.75
2023-09,144,1805,7.98
2023-10,144,1787,8.06
2023-11,211,2773,7.61
2023-12,242,2925,8.27
2024-01,137,1958,7.0
2024-02,166,1915,8.67
2024-03,165,2043,8.08
2024-04,173,2019,8.57
2024-05,215,2750,7.82
2024-06,164,2036,8.06
2024-07,163,2264,7.2
2024-08,174,2345,7.42
2024-09,197,2228,8.84
2024-10,208,2499,8.32
2024-11,321,3664,8.76
2024-12,277,3600,7.69
