month,revenue,orders
2023-01,1196499.54,1310
2023-02,1152272.38,1251
2023-03,1239979.62,1352
2023-04,1300490.67,1391
2023-05,1775752.35,1928
2023-06,1376507.42,1497
2023-07,1458372.56,1561
2023-08,1447710.05,1596
2023-09,1528101.31,1661
2023-10,1501360.56,1643
2023-11,2372107.31,2562
2023-12,2495226.22,2683
2024-01,1686446.37,1821
2024-02,1647410.41,1749
2024-03,1750665.88,1878
2024-04,1695826.86,1846
2024-05,2335720.85,2535
2024-06,1751061.93,1872
2024-07,1900291.42,2101
2024-08,1967725.74,2171
2024-09,1845712.04,2031
2024-10,2154471.01,2291
2024-11,3101809.95,3343
2024-12,3059518.65,3323
