order_id,customer_id,state,order_date,status,category,price,freight,total
1,1,PR,2023-08-29,delivered,玩具,166.84,9.96,176.8
1,1,PR,2023-08-29,delivered,服饰,794.11,100.14,894.25
2,2,MG,2024-09-27,delivered,宠物用品,390.31,67.47,457.78
3,3,SC,2024-11-24,canceled,服饰,112.99,8.86,121.85
3,3,SC,2024-11-24,canceled,玩具,171.45,10.5,181.95
4,4,AM,2023-06-25,delivered,电脑配件,517.22,80.92,598.14
5,5,SP,2023-02-11,delivered,服饰,49.82,7.96,57.78
6,6,RJ,2024-10-04,delivered,美妆健康,263.51,21.22,284.73
7,6,RJ,2024-09-18,delivered,宠物用品,640.76,95.86,736.62
7,6,RJ,2024-09-18,delivered,运动休闲,518.56,33.02,551.5799999999999
8,6,RJ,2023-06-11,delivered,家居家具,259.92,50.16,310.08000000000004
8,6,RJ,2023-06-11,delivered,厨具,601.36,109.78,711.14
9,6,RJ,2023-12-23,canceled,厨具,173.82,27.67,201.49
9,6,RJ,2023-12-23,canceled,服饰,754.75,86.89,841.64
10,6,RJ,2023-06-04,delivered,电脑配件,708.61,84.42,793.03
10,6,RJ,2023-06-04,delivered,玩具,121.38,7.01,128.39
11,6,RJ,2023-05-24,delivered,电脑配件,505.31,53.37,558.68
12,7,CE,2023-05-26,delivered,服饰,104.86,12.96,117.82
13,8,RJ,2024-12-16,delivered,玩具,265.33,37.45,302.78
14,9,PR,2023-04-04,delivered,电脑配件,632.94,52.73,685.6700000000001
15,10,DF,2024-10-22,delivered,宠物用品,52.54,10.02,62.56
15,10,DF,2024-10-22,delivered,玩具,319.19,21.85,341.04
15,10,DF,2024-10-22,delivered,运动休闲,777.14,133.94,911.0799999999999
16,11,SP,2024-11-11,delivered,家居家具,673.8,45.59,719.39
17,12,CE,2024-04-04,delivered,运动休闲,260.41,22.76,283.17
17,12,CE,2024-04-04,delivered,家居家具,533.9,62.48,596.38
17,12,CE,2024-04-04,delivered,电脑配件,159.44,8.06,167.5
18,13,BA,2023-08-18,delivered,玩具,332.27,19.96,352.22999999999996
19,13,BA,2023-11-22,delivered,图书,532.53,29.87,562.4
19,13,BA,2023-11-22,delivered,运动休闲,84.15,13.47,97.62
19,13,BA,2023-11-22,delivered,服饰,581.91,36.08,617.99
20,13,BA,2024-08-19,delivered,电子产品,688.51,137.3,825.81
21,13,BA,2024-08-05,delivered,电子产品,244.55,41.98,286.53000000000003
22,13,BA,2024-09-18,delivered,图书,496.15,43.58,539.73
23,13,BA,2023-11-03,delivered,服饰,411.73,77.4,489.13
24,13,BA,2023-07-24,delivered,电子产品,310.37,24.78,335.15
25,13,BA,2023-12-17,delivered,美妆健康,718.42,54.11,772.53
25,13,BA,2023-12-17,delivered,厨具,109.76,14.23,123.99000000000001
25,13,BA,2023-12-17,delivered,电脑配件,689.47,134.39,823.86
26,13,BA,2024-01-20,delivered,服饰,794.5,114.78,909.28
27,13,BA,2023-12-12,delivered,玩具,470.34,48.93,519.27
27,13,BA,2023-12-12,delivered,服饰,83.48,7.05,90.53
28,13,BA,2024-05-18,delivered,服饰,261.86,51.03,312.89
28,13,BA,2024-05-18,delivered,玩具,744.2,137.2,881.4000000000001
28,13,BA,2024-05-18,delivered,美妆健康,21.4,1.18,22.58
29,13,BA,2023-05-29,delivered,图书,304.0,17.38,321.38
29,13,BA,2023-05-29,delivered,电子产品,197.26,29.19,226.45
30,13,BA,2023-01-26,canceled,电子产品,102.96,10.66,113.61999999999999
30,13,BA,2023-01-26,canceled,电脑配件,342.33,32.58,374.90999999999997
31,13,BA,2023-05-17,delivered,电子产品,31.01,5.28,36.29
32,13,BA,2024-07-19,delivered,服饰,699.6,117.06,816.6600000000001
32,13,BA,2024-07-19,delivered,玩具,653.03,127.39,780.42
32,13,BA,2024-07-19,delivered,家居家具,523.06,70.27,593.3299999999999
33,13,BA,2023-11-18,delivered,图书,592.15,51.68,643.8299999999999
33,13,BA,2023-11-18,delivered,宠物用品,54.32,7.05,61.37
33,13,BA,2023-11-18,delivered,玩具,164.81,12.18,176.99
34,13,BA,2024-11-23,delivered,美妆健康,753.92,53.78,807.6999999999999
34,13,BA,2024-11-23,delivered,玩具,424.24,62.11,486.35
34,13,BA,2024-11-23,delivered,厨具,520.42,89.52,609.9399999999999
35,13,BA,2023-06-22,delivered,玩具,795.37,126.18,921.55
35,13,BA,2023-06-22,delivered,玩具,578.01,29.45,607.46
35,13,BA,2023-06-22,delivered,玩具,601.25,72.02,673.27
36,13,BA,2024-08-12,delivered,厨具,201.19,11.23,212.42
37,13,BA,2023-11-09,delivered,玩具,60.98,8.87,69.85
37,13,BA,2023-11-09,delivered,电脑配件,360.12,60.6,420.72
38,13,BA,2024-03-15,delivered,服饰,706.44,36.94,743.3800000000001
39,13,BA,2023-09-09,delivered,运动休闲,733.67,57.81,791.48
40,13,BA,2023-12-09,delivered,玩具,785.7,138.46,924.1600000000001
40,13,BA,2023-12-09,delivered,图书,386.2,67.95,454.15
40,13,BA,2023-12-09,delivered,家居家具,24.98,1.35,26.330000000000002
41,13,BA,2024-12-12,delivered,服饰,505.65,31.18,536.8299999999999
42,13,BA,2024-11-22,delivered,电脑配件,505.14,37.52,542.66
43,13,BA,2024-12-21,delivered,电子产品,560.25,81.28,641.53
44,13,BA,2024-07-12,delivered,服饰,303.46,52.39,355.84999999999997
44,13,BA,2024-07-12,delivered,图书,715.2,42.83,758.0300000000001
44,13,BA,2024-07-12,delivered,家居家具,733.24,140.52,873.76
45,13,BA,2023-04-26,delivered,服饰,760.42,141.95,902.3699999999999
46,13,BA,2024-08-20,delivered,电子产品,392.15,27.41,419.56
46,13,BA,2024-08-20,delivered,家居家具,524.13,49.36,573.49
46,13,BA,2024-08-20,delivered,家居家具,350.54,18.63,369.17
47,13,BA,2023-09-06,delivered,美妆健康,620.01,86.99,707.0
47,13,BA,2023-09-06,delivered,玩具,684.07,97.65,781.72
