date,revenue,orders,traffic,z_score,anomaly
2024-01-01,58273.14,308,3374,,0
2024-01-02,55326.29,240,2637,,0
2024-01-03,48896.7,218,2586,,0
2024-01-04,53675.76,244,2479,,0
2024-01-05,47063.83,210,2040,,0
2024-01-06,63463.49,299,3146,,0
2024-01-07,59393.2,306,3311,,0
2024-01-08,49462.08,230,2610,,0
2024-01-09,53138.63,252,2768,,0
2024-01-10,51365.06,267,2952,-0.51,0
2024-01-11,47546.83,206,1736,-1.11,0
2024-01-12,52351.31,221,2042,-0.19,0
2024-01-13,58546.11,281,3194,0.95,0
2024-01-14,63213.89,327,3340,1.61,0
2024-01-15,47453.42,252,2719,-1.17,0
2024-01-16,51955.28,253,2499,-0.35,0
2024-01-17,49197.97,214,2474,-0.81,0
2024-01-18,49624.92,254,2861,-0.7,0
2024-01-19,49752.01,253,2108,-0.65,0
2024-01-20,57155.16,279,2735,0.74,0
2024-01-21,55526.68,260,2209,0.41,0
2024-01-22,51358.34,265,2712,-0.41,0
2024-01-23,48529.68,246,2931,-0.94,0
2024-01-24,51501.3,225,2454,-0.33,0
2024-01-25,48495.08,218,2233,-0.92,0
2024-01-26,54520.54,249,2027,0.33,0
2024-01-27,60679.3,303,3067,1.53,0
2024-01-28,58303.22,246,2367,1.0,0
2024-01-29,49591.46,209,1879,-0.77,0
2024-01-30,49110.45,231,2477,-0.84,0
2024-01-31,49984.88,228,1833,-0.61,0
2024-02-01,47193.64,197,2015,-1.12,0
2024-02-02,48872.69,234,2473,-0.77,0
2024-02-03,59700.79,291,2469,1.38,0
2024-02-04,65217.28,339,3409,2.2,0
2024-02-05,59549.74,267,2372,1.22,0
2024-02-06,53334.49,225,1984,0.05,0
2024-02-07,47316.83,230,2173,-1.12,0
2024-02-08,51128.36,248,2375,-0.35,0
2024-02-09,56128.24,241,2241,0.59,0
2024-02-10,70000.28,339,2746,2.75,0
2024-02-11,65148.83,289,3151,1.75,0
2024-02-12,47619.14,242,2749,-1.0,0
2024-02-13,45623.72,226,2584,-1.24,0
2024-02-14,57328.58,279,3052,0.6,0
2024-02-15,52035.51,233,2334,-0.26,0
2024-02-16,55539.98,251,2021,0.28,0
2024-02-17,64908.68,317,3698,1.66,0
2024-02-18,61818.89,328,3373,1.1,0
2024-02-19,49098.34,226,2066,-0.83,0
2024-02-20,39412.87,179,1820,-2.06,0
2024-02-21,51072.01,277,2741,-0.41,0
2024-02-22,63101.08,299,3110,1.21,0
2024-02-23,53976.09,244,1991,-0.08,0
2024-02-24,66387.37,360,4197,1.53,0
2024-02-25,56013.92,241,2882,0.11,0
2024-02-26,60411.51,266,2398,0.71,0
2024-02-27,57784.42,312,3340,0.36,0
2024-02-28,57587.79,252,2415,0.3,0
2024-02-29,54770.42,273,2639,-0.12,0
2024-03-01,53919.74,252,2841,-0.25,0
2024-03-02,64583.96,269,2264,1.16,0
2024-03-03,60382.72,305,3377,0.53,0
2024-03-04,60290.4,254,2904,0.51,0
2024-03-05,48104.46,207,1772,-1.15,0
2024-03-06,48188.46,240,2624,-1.07,0
2024-03-07,45855.13,192,2092,-1.32,0
2024-03-08,54104.6,251,2734,-0.23,0
2024-03-09,65860.43,360,4020,1.31,0
2024-03-10,62803.63,271,2881,0.85,0
2024-03-11,50007.96,209,2261,-0.82,0
2024-03-12,54197.41,226,2405,-0.18,0
2024-03-13,55220.52,247,2071,-0.07,0
2024-03-14,50931.62,255,2497,-0.76,0
2024-03-15,40016.85,183,1542,-2.15,0
2024-03-16,61789.61,271,2991,0.86,0
2024-03-17,69998.42,308,3101,1.82,0
2024-03-18,44786.26,203,1668,-1.38,0
2024-03-19,50517.27,225,1855,-0.59,0
2024-03-20,56778.64,295,2643,0.2,0
2024-03-21,55189.54,230,2142,-0.09,0
2024-03-22,58382.31,317,2558,0.33,0
2024-03-23,64414.34,269,2419,1.19,0
2024-03-24,59439.92,249,2303,0.45,0
2024-03-25,63793.91,312,2607,1.1,0
2024-03-26,52525.09,241,2492,-0.52,0
