customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_cell,Segment
1,129,9,888.01,2,3,3,23,流失风险(At Risk)
2,163,3,438.53999999999996,2,1,2,21,流失客户(Hibernating)
3,13,8,1738.36,4,3,3,43,忠诚(Loyal)
4,8,29,16420.5,5,5,5,55,冠军(Champions)
5,127,7,1078.52,2,3,3,23,流失风险(At Risk)
6,10,30,16250.98,4,5,5,45,冠军(Champions)
7,268,2,272.71999999999997,1,1,2,11,流失客户(Hibernating)
8,248,4,132.57999999999998,1,2,1,12,流失客户(Hibernating)
9,174,3,448.89,2,1,2,21,流失客户(Hibernating)
10,291,2,56.36,1,1,1,11,流失客户(Hibernating)
11,17,10,2363.2,4,4,4,44,冠军(Champions)
12,93,7,1502.39,3,3,3,33,忠诚(Loyal)
13,174,4,280.01,2,2,2,22,流失客户(Hibernating)
14,1,10,3390.45,5,4,4,54,冠军(Champions)
15,1,26,16733.9,5,5,5,55,冠军(Champions)
16,72,4,808.9399999999999,3,2,3,32,潜力客户(Potential)
17,49,11,2129.49,4,4,4,44,冠军(Champions)
18,130,3,116.31,2,1,1,21,流失客户(Hibernating)
19,4,21,10128.06,5,5,5,55,冠军(Champions)
20,1,25,15857.09,5,5,5,55,冠军(Champions)
21,70,9,1533.91,3,3,3,33,忠诚(Loyal)
22,110,9,1306.11,2,3,3,23,流失风险(At Risk)
23,225,4,140.29,1,2,1,12,流失客户(Hibernating)
24,107,5,403.32,3,2,2,32,潜力客户(Potential)
25,26,12,6012.36,4,4,5,44,冠军(Champions)
26,13,25,17944.96,4,5,5,45,冠军(Champions)
27,19,14,5753.3099999999995,4,4,5,44,冠军(Champions)
28,109,4,651.98,3,2,2,32,潜力客户(Potential)
29,206,1,66.76,2,1,1,21,流失客户(Hibernating)
30,100,7,1366.5,3,3,3,33,忠诚(Loyal)
31,86,4,353.7,3,2,2,32,潜力客户(Potential)
32,28,9,2707.07,4,3,4,43,忠诚(Loyal)
33,28,12,3241.39,4,4,4,44,冠军(Champions)
34,62,4,920.4100000000001,3,2,3,32,潜力客户(Potential)
35,320,1,63.6,1,1,1,11,流失客户(Hibernating)
36,210,3,301.0,2,1,2,21,流失客户(Hibernating)
37,129,5,280.39,2,2,2,22,流失客户(Hibernating)
38,173,3,241.87,2,1,2,21,流失客户(Hibernating)
39,254,4,274.49,1,2,2,12,流失客户(Hibernating)
40,65,10,1551.25,3,4,3,34,忠诚(Loyal)
41,217,4,194.38,2,2,1,22,流失客户(Hibernating)
42,63,12,2659.39,3,4,4,34,忠诚(Loyal)
43,16,4,796.92,4,2,3,42,新客/高活跃(New)
44,53,13,5701.98,4,4,5,44,冠军(Champions)
45,117,5,1265.9299999999998,2,2,3,22,流失客户(Hibernating)
46,34,8,2528.64,4,3,4,43,忠诚(Loyal)
47,73,5,967.7,3,2,3,32,潜力客户(Potential)
48,94,9,1820.68,3,3,3,33,忠诚(Loyal)
49,100,7,1459.13,3,3,3,33,忠诚(Loyal)
50,42,12,2952.12,4,4,4,44,冠军(Champions)
51,332,1,68.2,1,1,1,11,流失客户(Hibernating)
52,11,15,5910.110000000001,4,4,5,44,冠军(Champions)
53,264,2,144.23999999999998,1,1,1,11,流失客户(Hibernating)
54,16,12,1642.29,4,4,3,44,忠诚(Loyal)
55,313,3,342.91,1,1,2,11,流失客户(Hibernating)
56,9,23,11688.15,5,5,5,55,冠军(Champions)
57,68,13,3999.16,3,4,4,34,忠诚(Loyal)
58,101,7,1777.18,3,3,3,33,忠诚(Loyal)
59,7,24,19667.81,5,5,5,55,冠军(Champions)
60,4,18,8295.55,5,5,5,55,冠军(Champions)
61,60,13,5483.12,3,4,5,34,忠诚(Loyal)
62,1,29,23167.15,5,5,5,55,冠军(Champions)
63,281,4,418.84,1,2,2,12,流失客户(Hibernating)
64,252,2,98.95,1,1,1,11,流失客户(Hibernating)
65,348,1,15.62,1,1,1,11,流失客户(Hibernating)
66,38,13,6051.110000000001,4,4,5,44,冠军(Champions)
67,121,4,598.36,2,2,2,22,流失客户(Hibernating)
68,17,9,1678.91,4,3,3,43,忠诚(Loyal)
69,16,4,578.68,4,2,2,42,新客/高活跃(New)
70,183,2,181.82,2,1,1,21,流失客户(Hibernating)
71,38,9,2844.41,4,3,4,43,忠诚(Loyal)
72,216,3,311.09,2,1,2,21,流失客户(Hibernating)
73,31,5,263.19,4,2,2,42,新客/高活跃(New)
74,127,7,980.53,2,3,3,23,流失风险(At Risk)
75,87,7,1398.44,3,3,3,33,忠诚(Loyal)
76,314,4,134.56,1,2,1,12,流失客户(Hibernating)
77,94,9,1757.0400000000002,3,3,3,33,忠诚(Loyal)
78,70,6,410.11,3,3,2,33,潜力客户(Potential)
79,138,2,291.52,2,1,2,21,流失客户(Hibernating)
80,185,2,97.31,2,1,1,21,流失客户(Hibernating)
81,1,18,9284.12,5,5,5,55,冠军(Champions)
82,315,3,145.38,1,1,1,11,流失客户(Hibernating)
83,351,4,230.12,1,2,1,12,流失客户(Hibernating)
84,1,8,1413.34,5,3,3,53,忠诚(Loyal)
85,8,26,14429.56,5,5,5,55,冠军(Champions)
86,256,2,60.480000000000004,1,1,1,11,流失客户(Hibernating)
87,37,16,2729.5,4,5,4,45,冠军(Champions)
88,1,28,8232.69,5,5,5,55,冠军(Champions)
89,1,27,8158.56,5,5,5,55,冠军(Champions)
90,160,3,161.14,2,1,1,21,流失客户(Hibernating)
91,1,25,7628.94,5,5,5,55,冠军(Champions)
