product_id,MAPE%,current_inventory,expected_7d_demand,reorder,reorder_qty
1,10.0,0,194.0,是,194
2,15.6,0,905.0,是,905
3,8.4,0,692.0,是,692
4,14.5,0,451.0,是,451
5,14.4,0,471.0,是,471
6,18.7,464,151.0,否,0
7,10.9,0,762.0,是,762
8,11.3,0,390.0,是,390
9,16.4,0,427.0,是,427
10,9.9,0,389.0,是,389
11,20.2,0,407.0,是,407
12,14.2,0,712.0,是,712
13,7.9,0,553.0,是,553
14,11.4,0,685.0,是,685
15,9.2,0,420.0,是,420
16,9.2,0,819.0,是,819
17,24.3,0,953.0,是,953
18,14.1,0,763.0,是,763
19,19.4,0,622.0,是,622
20,12.5,0,774.0,是,774
